CTRY3M_ID,AB_Island_ID,Weigelt ID,Island,Archipelago,NOTES,Source,intro_birds_mine,NISP,region,isolation_from_nearest_island(km),isolation_from_nearest_island_group(km),intr_birds_BlackburnEtAl,intr_mammalian_predators,forest_replacement,deforestation,island_area(km2),max_island_elevation(m),notes,fossil_record_quality_rating
,204,58180,Camorta Island,Nicobar Islands,,andaman/nicobar survey ppr,,,Indian Ocean,,,,,,,,,,
,100,58253,Car Nicobar,Nicobar Islands,,andaman/nicobar survey ppr,,,Indian Ocean,,,,,,,,,,
,101,58137,Great Nicobar,Nicobar Islands,AKA Pigeon Island,andaman/nicobar survey ppr,,,Indian Ocean,,,,,,,,,,
,207,58375,Little Andaman,Andaman Islands,,andaman/nicobar survey ppr,,,Indian Ocean,,,,,,,,,,
,102,58581,Narcondam,Andaman Islands,,andaman/nicobar survey ppr,,,Indian Ocean,,,,,,,,,,
,187,58468,South Andaman,Andaman Islands,Sandy Island,andaman/nicobar survey ppr,,,Indian Ocean,,,,,,,,,,
,180,82291,Timor,,Pulau Timor,birds of melanesia.net,,,Southeast Asia,,,,,,,,,,
,57,15844,Abaco,Bahamas,,Ivan/Ricki,,,car,,,,,,,1681 (all isl together),,,
5802,16,75004,Aguiguan,Marianas,Aguijan in the Northern Marianas Islands on the website,Steadman 2006,4,944,mr,5,500,1,0,NA,NA,7.2,157,,2
,104,54442,Alphonse,Seychelles,Ile Alphonse,SBRC Seychelles List,,,Indian Ocean,,,,,,,,,,
,58,11466,Antigua,Lesser Antilles,,Ivan/Ricki,,,car,,,,,,,,,,
,83,8452,Ascension,Atlantic,,avibase,,,Atlantic,,,,,,,,,,
,151,80642,Bellona,Solomons,,birds of melanesia.net,,,Pacific,,,,,,,,,,
,105,54648,Bird,Seychelles,Ile aux Vaches,SBRC Seychelles List,,,Indian Ocean,,,,,,,,,,
,74,18196,Boa Vista,Cape Verde Islands,,Illera et al 2012,,,Atlantic,,,,,,,,,,
,126,84281,Bougainville,Solomons,,birds of melanesia.net,,,m,,,,,,,,,,
8132,33,84482,Buka,Solomons,,Steadman 2006,0,75,m,1,170,NA,NA,NA,NA,611,365,,5
,59,11927,Cayman Brac,Cayman Islands,,Ivan/Ricki,,,car,,,,,,,38,,,
13015,45,8546,Chatham,Chatham,,Worthy & Holdaway 2002,17,NA,nz,600,600,0,1,NA,NA,745,283,,2
,127,83480,Choiseul,Solomons,,birds of melanesia.net,,,m,,,,,,,,,,
,188,19159,Corvo,Azores,,avibase,,,,,,,,,,,,,
,96,13241,Crooked Island,Bahamas,,Ivan/Ricki,,,car,,,,,,,,,,
,60,13567,Cuba,Greater Antilles,,Ivan/Ricki,,,car,,,,,,,110861,,,
NA,55,8570,Easter,Easter,called Isla de Pascua in Spanish on website,,5,6,ep,,,,,,,,,,NA
9052,41,78498,Efate,Vanuatu,,Steadman 2006,,135,m,75,340,4,3,3,3,915,647,,5
,67,18235,El Hierro,Canary Islands,,Illera et al 2012,,,Atlantic,,,,,,,,,,
9093,42,78337,Erromango,Vanuatu,,Steadman 2006,,217,m,35,270,1,0,3,3,900,886,,5
,189,19103,Faial,Azores,,avibase,,,,,,,,,,,,,
,190,19158,Flores,Azores,,avibase,,,,,,,,,,,,,
,75,18186,Fogo,Cape Verde Islands,,Illera et al 2012,,,Atlantic,,,,,,,,,,
,68,18245,Fuerteventura,Canary Islands,,Illera et al 2012,,,Atlantic,,,,,,,,,,
,87,7457,Gough,Atlantic,,avibase,,,Atlantic,,,,,,,,,,
,191,19152,Graciosa,Azores,,avibase,,,,,,,,,,,,,
,69,18240,Gran Canaria,Canary Islands,,Illera et al 2012,,,Atlantic,,,,,,,,,,
,94,11898,Grand Cayman,Cayman Islands,,Ivan/Ricki,,,car,,,,,,,,,,
12677,25,16924,Grande Terre,New.Caledonia,,Steadman 2006,15,6300,m,1100,400,7,6,2,3,16750,1618,,3
,128,81441,Guadalcanal,Solomons,Guadalcanal Island,birds of melanesia.net,,,m,,,,,,,,,,
5902,17,74754,Guam,Marianas,,Steadman 2006,5,28,mr,80,500,7,5,NA,NA,554,393,,4
5365,10,9827,Hawaii,Hawaiian,,,38,1000,h,48,3000,34,4,3,3.5,10433.1,4169,,1
9250,30,8575,Henderson,Pitcairn.Islands,,,0,1500,ep,200,600,0,0,NA,NA,29.8,33,,1
,95,0,Hispaniola,Greater Antilles,,Ivan/Ricki,,,car,,,,,,,,,,
NA,51,77353,Ile des Pins,New.Caledonia,Kunie,birds of melanesia.net,,999,m,45,100,,,,,134,266,"Ile des Pins not distinguished from Grande Terre, New Caledonia",NA
,61,11801,Jamaica,Greater Antilles,,Ivan/Ricki,,,car,,,,,,,11190,,,
11147,11,9854,Kauai,Hawaiian,,,31,2000,h,125,3000,27,4,3,3.5,1430.5,1598,,1
,116,5439,Kerguelen,Antarctic,Ile Kerguelen,avibase,,,Indian Ocean,,,,,,,,,,
,129,82632,Kulambangra,Solomons,Kolombangara Island on website,Birds of Northern Melanesia,,,m,,,,,,,,,,
,106,54633,La Digue,Seychelles,,SBRC Seychelles List,,,Indian Ocean,,,,,,,,,,
,70,18241,La Gomera,Canary Islands,,Illera et al 2012; Avibase,,,Atlantic,,,,,,,,,,
,71,18247,La Palma,Canary Islands,,Illera et al 2012; Avibase,,,Atlantic,,,,,,,,,,
5297,12,9832,Lanai,Hawaiian,,,23,400,h,14,3000,24,4,3,3.5,364,1027,,3
,72,18249,Lanzarote,Canary Islands,,Illera et al 2012; Avibase,,,Atlantic,,,,,,,,,,
,97,13724,Little Exuma,Bahamas,Great Exuma Island,Ivan/Ricki,,,car,,,,,,,,,,
,119,84376,Long,Bismarcks,Long Island (Ahrup),Birds of Northern Melanesia,,,m,,,,,,,,,,
NA,56,76959,Lord.Howe,Lord.Howe,,,11,,Pacific,,,,,,,,,,NA
,88,18614,Madiera,Madiera,Ilha da Madeira,"Rando, J. C., Pieper, H., Alcover, J. A., & Olson, S. L. (2012). A new species of extinct fossil scops owl ( Aves : Strigiformes : Strigidae : Otus ) from the Archipelago of Madeira ( North Atlantic Ocean ), 42, 29–42.",,,Atlantic,,,,,,,,,,
,107,54624,Mahe,Seychelles,L'Islette; Souris Island,SBRC Seychelles List,,,Indian Ocean,,,,,,,,,,
,76,18188,Maio,Cape Verde Islands,,Illera et al 2012,,,Atlantic,,,,,,,,,,
,130,82308,Malaita,Solomons,,birds of melanesia.net,,,m,,,,,,,,,,
8935,43,78968,Malakula,Vanuatu,,Steadman 2006,,195,m,14,440,1,1,NA,NA,2030,879,,4
12692,4,8623,Mangaia,Cook,,,,1674,ep,200,600,2,2,4,4,52,169,,1
,120,65798,Manus,Bismarcks,Manus Island,Birds of Northern Melanesia,,,m,,,,,,,,,,
