"","CTRY3M_ID","AB_Island_ID","Weigelt.ID","Island","Archipelago","NOTES","Source","intro_birds_mine","NISP","region","isolation_from_nearest_island.km.","isolation_from_nearest_island_group.km.","intr_birds_BlackburnEtAl","intr_mammalian_predators","forest_replacement","deforestation","island_area.km2.","max_island_elevation.m.","notes","fossil_record_quality_rating","good_island"
"1",NA,204,58180,"Camorta Island","Nicobar Islands",NA,"andaman/nicobar survey ppr",NA,NA,"Indian Ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2",NA,100,58253,"Car Nicobar","Nicobar Islands",NA,"andaman/nicobar survey ppr",NA,NA,"Indian Ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"3",NA,101,58137,"Great Nicobar","Nicobar Islands","AKA Pigeon Island","andaman/nicobar survey ppr",NA,NA,"Indian Ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"4",NA,207,58375,"Little Andaman","Andaman Islands",NA,"andaman/nicobar survey ppr",NA,NA,"Indian Ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"5",NA,102,58581,"Narcondam","Andaman Islands",NA,"andaman/nicobar survey ppr",NA,NA,"Indian Ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"6",NA,187,58468,"South Andaman","Andaman Islands","Sandy Island","andaman/nicobar survey ppr",NA,NA,"Indian Ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"8",NA,57,15844,"Abaco","Bahamas",NA,"Ivan/Ricki",NA,NA,"car",NA,NA,NA,NA,NA,NA,"1681 (all isl together)",NA,NA,NA,1
"9",5802,16,75004,"Aguiguan","Marianas","Aguijan in the Northern Marianas Islands on the website","Steadman 2006","4",944,"mr",5,500,1,0,NA,NA,"7.2",157,NA,2,1
"11",NA,58,11466,"Antigua","Lesser Antilles",NA,"Ivan/Ricki",NA,NA,"car",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"12",NA,83,8452,"Ascension","Atlantic",NA,"avibase",NA,NA,"Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"16",NA,126,84281,"Bougainville","Solomons",NA,"birds of melanesia.net",NA,NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"17",8132,33,84482,"Buka","Solomons",NA,"Steadman 2006","0",75,"m",1,170,NA,NA,NA,NA,"611",365,NA,5,1
