Island,AB_Island_ID,Weigelt.ID,Archipelago,Species_Name,Common_Name,Sibley2_0ID,AB_Species_ID,introduced,modern_observed,historically_observed,fossil_observed,Source,Fossil_Evidence,Notes,,,,,,,,,,,
Abaco,57,15844,Bahamas,Agelaius phoeniceus,red-winged blackbired,,,0,1,1,0,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,"common, local",,,,,,,,,,,
Abaco,57,15844,Bahamas,Amazona leucocephala,Cuban Parrot/rose-throated parrot,,,0,1,1,1,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",near threatened,,,,,,,,,,,
Abaco,57,15844,Bahamas,Athene cunicularia,Burrowing Owl,,,0,1,1,1,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",,,,,,,,,,,,
Abaco,57,15844,Bahamas,Calliphlox evelynae,bahama woodstar,,,0,1,1,0,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,"less common when cohabitates with cuban emerald, endemic",,,,,,,,,,,
Abaco,57,15844,Bahamas,Chlorostilbon ricordii,cuban emerald,,,0,1,1,0,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,common,,,,,,,,,,,
Abaco,57,15844,Bahamas,Chordeiles gundlachii,antillean nighthawk,,,0,1,1,0,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,"common, breeding migrant",,,,,,,,,,,
Abaco,57,15844,Bahamas,Coccyzus minor,mangrove cuckoo,,,0,1,1,0,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,generally common,,,,,,,,,,,
Abaco,57,15844,Bahamas,Coereba flaveola,bananaquit,,,0,1,1,0,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,common,,,,,,,,,,,
Abaco,57,15844,Bahamas,Colinus virginianus,northern bobwhite,,,1,1,NA,NA,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,common,,,,,,,,,,,
Abaco,57,15844,Bahamas,Columba livia,rock dove,,,1,1,NA,NA,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,common,,,,,,,,,,,
Abaco,57,15844,Bahamas,Columbina passerina,common ground-dove,,,0,1,1,0,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,common,,,,,,,,,,,
Abaco,57,15844,Bahamas,Contopus caribaeus,Cuban Pewee,,,0,1,1,1,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",,,,,,,,,,,,
Abaco,57,15844,Bahamas,Crotophaga ani,smooth-billed ani,,,0,1,1,0,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,common,,,,,,,,,,,
Abaco,57,15844,Bahamas,Dendroica pinus,pine warbler,,,0,1,1,0,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,common,,,,,,,,,,,
Abaco,57,15844,Bahamas,Dendroica pityophila,olive-capped warbler,,,0,1,1,0,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,"common, local",,,,,,,,,,,
Abaco,57,15844,Bahamas,Geothlypis rostrata,Bahama Yellowthroat,,,0,1,1,1,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",endemic,,,,,,,,,,,
Abaco,57,15844,Bahamas,Icterus dominicensis,black-cowled oriole,,,0,1,1,0,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,on verge of extirpation,,,,,,,,,,,
Abaco,57,15844,Bahamas,Melanerpes superciliaris,west indian woodpecker,,,0,1,1,0,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,common,,,,,,,,,,,
Abaco,57,15844,Bahamas,Mimus gundlachii,bahama mockingbird,,,0,1,1,0,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,generally common,,,,,,,,,,,
