"","Island","AB_Island_ID","Weigelt.ID","Archipelago","Species_Name","Common_Name","Sibley2_0ID","AB_Species_ID","introduced","modern_observed","historically_observed","fossil_observed","Source","Fossil_Evidence","Notes","good_island"
"1","Abaco",57,15844,"Bahamas","Agelaius phoeniceus","red-winged blackbired",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common, local",1
"2","Abaco",57,15844,"Bahamas","Amazona leucocephala","Cuban Parrot/rose-throated parrot",NA,NA,0,1,1,1,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","near threatened",1
"3","Abaco",57,15844,"Bahamas","Athene cunicularia","Burrowing Owl",NA,NA,0,1,1,1,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",NA,1
"4","Abaco",57,15844,"Bahamas","Calliphlox evelynae","bahama woodstar",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"less common when cohabitates with cuban emerald, endemic",1
"5","Abaco",57,15844,"Bahamas","Chlorostilbon ricordii","cuban emerald",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"6","Abaco",57,15844,"Bahamas","Chordeiles gundlachii","antillean nighthawk",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common, breeding migrant",1
"7","Abaco",57,15844,"Bahamas","Coccyzus minor","mangrove cuckoo",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"generally common",1
"8","Abaco",57,15844,"Bahamas","Coereba flaveola","bananaquit",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"9","Abaco",57,15844,"Bahamas","Colinus virginianus","northern bobwhite",NA,NA,1,1,NA,NA,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"10","Abaco",57,15844,"Bahamas","Columba livia","rock dove",NA,NA,1,1,NA,NA,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"11","Abaco",57,15844,"Bahamas","Columbina passerina","common ground-dove",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"12","Abaco",57,15844,"Bahamas","Contopus caribaeus","Cuban Pewee",NA,NA,0,1,1,1,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",NA,1
"13","Abaco",57,15844,"Bahamas","Crotophaga ani","smooth-billed ani",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"14","Abaco",57,15844,"Bahamas","Dendroica pinus","pine warbler",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"15","Abaco",57,15844,"Bahamas","Dendroica pityophila","olive-capped warbler",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common, local",1
"16","Abaco",57,15844,"Bahamas","Geothlypis rostrata","Bahama Yellowthroat",NA,NA,0,1,1,1,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","endemic",1
"17","Abaco",57,15844,"Bahamas","Icterus dominicensis","black-cowled oriole",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"on verge of extirpation",1
"18","Abaco",57,15844,"Bahamas","Melanerpes superciliaris","west indian woodpecker",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"19","Abaco",57,15844,"Bahamas","Mimus gundlachii","bahama mockingbird",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"generally common",1
"20","Abaco",57,15844,"Bahamas","Mimus polyglottos","northern mockingbird",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"21","Abaco",57,15844,"Bahamas","Passer domesticus","house sparrow",NA,NA,1,1,NA,NA,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"locally common",1
"22","Abaco",57,15844,"Bahamas","Patagioenas leucocephala","white-crowned pigeon",NA,NA,0,1,1,1,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Columba leucocephala",1
"23","Abaco",57,15844,"Bahamas","Picoides villosus","hairy woodpecker",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"fairly common",1
"24","Abaco",57,15844,"Bahamas","Spindalis zena","western stripe-headed tanger",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"25","Abaco",57,15844,"Bahamas","Streptopelia decaocto","eurasian collared-dove",NA,NA,1,1,NA,NA,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common, after 1974",1
"26","Abaco",57,15844,"Bahamas","Tachycineta cyaneoviridis","bahama swallow",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"27","Abaco",57,15844,"Bahamas","Tiaris bicolor","Black-faced Grassquit",NA,NA,0,1,1,1,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",NA,1
