AB_Species_ID,Sibley2_0ID,Species_Name,Common.name,Order,Family,Name_Plotting,Pacific,log10Mass,endemism,flightless,ground_nest,primary_diet,secondary_diet,Diet_vert,Diet_invert,Diet_fruit,Diet_nectar,Diet_seed,Diet_scav,Diet_plant,Height_watbelowsurface,Height_wataroundsurface,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_aerial,Nocturnal_cat,NumHabitats,LogFMR,LogPPR,IUCN_status,globally_extinct,global_histVic,global_preVic,Taxon.notes,Nest.notes,guild_ref
1,4732,Accipiter albogularis,Pied Goshawk,Falconiformes,Accipitridae,Accipiter albogularis,y,2.395775153,0,0,0,c,c,10,0,0,0,0,0,0,0,0,1,3,3,3,0,0,1,2.69,4.4,LC,0,0,0,,,walter's
2,4749,Accipiter brachyurus,"New Britain Sparrowhawk, Grey Sparrowhawk",Falconiformes,Accipitridae,Accipiter brachyurus,y,2.152288344,0,0,0,c,c,10,0,0,0,0,0,0,0,0,0,3.33,3.33,3.33,0,0,1,2.52,4.36,VU,0,0,0,,,walter's
3,NA,Accipiter efficax,,Falconiformes,Accipitridae,Accipiter efficax,y,2.382221227,0,0,0,c,c,9,1,0,0,0,0,0,0,0,4,2,2,2,0,0,1,2.68,4.49,EX,1,NA,1,,,boyer 2009
4,4728,Accipiter fasciatus,Brown Goshawk,Falconiformes,Accipitridae,Accipiter fasciatus,y,2.554684033,0,0,0,c,c,7,2,0,0,0,1,0,0,0,5,0,3,2,0,0,1,2.8,4.52,LC,0,0,0,,,walter's
5,4733,Accipiter haplochrous,White-bellied Goshawk,Falconiformes,Accipitridae,Accipiter haplochrous,y,2.297582707,0,0,0,c,c,7,3,0,0,0,0,0,0,0,7,0,2,1,0,0,1,2.62,4.33,NT,0,0,0,,,walter's
6,4770,Accipiter meyerianus,Meyer's Goshawk,Falconiformes,Accipitridae,Accipiter meyerianus,y,2.882834277,0,0,0,c,c,10,0,0,0,0,0,0,0,0,0,0,3.33,3.33,0,0,1,3.04,4.88,LC,0,0,0,,,walter's
7,4726,Accipiter novaehollandiae,Grey Goshawk,Falconiformes,Accipitridae,Accipiter novaehollandiae,y,2.513305271,0,0,0,c,c,7,3,0,0,0,0,0,0,0,5,0,3,2,0,0,1,2.77,4.49,LC,0,0,0,,,walter's
8,NA,Accipiter quartus,,Falconiformes,Accipitridae,Accipiter quartus,y,2.445077933,0,0,0,c,c,10,0,0,0,0,0,0,0,0,4,2,2,2,0,0,1,2.73,4.57,EX,1,NA,1,,,boyer 2009
9,4734,Accipiter rufitorques,Fiji Goshawk,Falconiformes,Accipitridae,Accipiter rufitorques,y,2.320146286,0,0,0,c,c,8,2,0,0,0,0,0,0,0,0,3,4,3,0,0,1,2.64,4.4,LC,0,0,0,,,walter's
10,NA,Accipiter sp. LARGE,,Falconiformes,Accipitridae,Accipiter sp. Lg,y,3.214327582,0,0,0,c,c,10,0,0,0,0,0,0,0,0,4,2,2,2,0,0,1,3.27,5.12,EX,1,NA,1,,,boyer 2009
11,NA,Accipiter sp. MEDIUM (larger than novaehollandiae),,Falconiformes,Accipitridae,Accipiter sp. med,y,2.825012555,0,0,0,c,c,9,1,0,0,0,0,0,0,0,4,2,2,2,0,0,1,3,4.8,EX,1,NA,1,,,boyer 2009
12,1357,Aceros plicatus,Knobbed Hornbill,Coraciiformes,Bucerotidae,Aceros plicatus,y,3.231410801,0,0,0,f,f,0,2,8,0,0,0,0,0,0,3,1,1,5,0,0,1,3.14,4.17,LC,0,0,0,,,walter's
13,NA,Aceros undescr sp.,,Coraciiformes,Bucerotidae,Aceros undescr sp.,y,3.177752872,2,0,0,f,f,1,3,6,0,0,0,0,0,0,3,1,1,5,0,0,1,3.1,4.13,EX,1,NA,1,,,same as congener
