Species_Name,Family,Common_name,Taxonomy.notes,Body mass (g),Diet_invert,Diet_vert,Diet_scav,Diet_fruit,Diet_nectar,Diet_seed,Diet_plant,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_watbelowsurface,Height_wataroundsurface,Height_aerial,Nocturnal_cat,guild_ref,mass reference
Mellisuga helenae,Trochilidae,BEE HUMMINGBIRD,,1.75,1,0,0,0,9,0,0,0,7,3,0,0,0,0,0,jetz,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Calliphlox evelynae,Trochilidae,BAHAMA WOODSTAR,,2.9,1,0,0,0,9,0,0,0,3,3,3,0,0,1,0,jetz,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Mellisuga minima,Trochilidae,VERVAIN HUMMINGBIRD,,3.1,0,0,0,0,10,0,0,0,7,3,0,0,0,0,0,jetz,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Chlorostilbon maugaeus,Trochilidae,PUERTO RICAN EMERALD,,3.6,1,0,0,0,9,0,0,0,6,4,0,0,0,0,0,jetz,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Chlorostilbon bracei,,,EXTINCT,3.75,0,0,0,0,10,0,0,0,5,5,0,0,0,0,0,Boyer,set to same as congeners
Chlorostilbon ricordii,Trochilidae,CUBAN EMERALD,,3.75,1,0,0,0,9,0,0,0,6,4,0,0,0,0,0,jetz,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Chlorostilbon swainsonii,Trochilidae,HISPANIOLAN EMERALD,,3.75,1,0,0,0,9,0,0,0,3,5,1,0,0,1,0,jetz,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Orthorhyncus cristatus,Trochilidae,ANTILLEAN CRESTED HUMMINGBIRD,,3.75,1,0,0,0,9,0,0,0,8,2,0,0,0,0,0,jetz,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Chlorestes notatus,Trochilidae,,,4,1,0,0,0,9,0,0,0,7,3,0,0,0,0,0,jetz,Dunning
Chrysolampis mosquitus,Trochilidae,RUBY-TOPAZ HUMMINGBIRD,,4.5,1,0,0,0,9,0,0,0,5,3,2,0,0,0,0,jetz,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Trochilus polytmus,Trochilidae,,,4.8,5,0,0,0,5,0,0,0,5,5,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Trochilus scitulus,Trochilidae,,,4.8,5,0,0,0,5,0,0,0,5,5,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Amazilia tobaci,Trochilidae,,,5,1,0,0,0,9,0,0,0,4,3,3,0,0,0,0,jetz,Dunning
Polioptila lembeyei,Certhiidae,CUBAN GNATCATCHER,"\Polioptliidae\""""",5,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,jetz,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Todus mexicanus,Todidae,,,5.75,9,0,0,1,0,0,0,0,7,3,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Todus angustirostris,Todidae,,,5.95,9,1,0,0,0,0,0,0,4,4,2,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Todus multicolor,Todidae,,,5.95,9,1,0,0,0,0,0,0,0,10,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Eulampis holosericeus,Trochilidae,GREEN-THROATED CARIB,,5.975,1,0,0,0,9,0,0,0,7,2,0,0,0,1,0,jetz,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Polioptila caerulea,Certhiidae,BLUE-GREY GNATCATCHER,"\Polioptliidae\""""",6,10,0,0,0,0,0,0,0,5,5,0,0,0,0,0,jetz,Dunning
Anthracothorax dominicus,Trochilidae,,,6.25,5,0,0,0,5,0,0,0,0,5,5,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Glaucis hirsuta,Trochilidae,,,6.75,5,0,0,0,5,0,0,0,10,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
